Date_reported,Country,New_cases
2020-08-28,Brazil,47161
2020-08-29,Brazil,44235
2020-08-30,Brazil,43412
2020-08-31,Brazil,41350
2020-09-01,Brazil,16158
2020-09-02,Brazil,45961
2020-09-03,Brazil,42659
2020-09-04,Brazil,46934
2020-09-05,Brazil,43773
2020-09-06,Brazil,51194
2020-09-07,Brazil,30168
2020-09-08,Brazil,14521
2020-09-09,Brazil,10273
2020-09-10,Brazil,14279
2020-09-11,Brazil,35816
2020-09-12,Brazil,40557
2020-09-13,Brazil,43718
2020-09-14,Brazil,33523
2020-09-15,Brazil,14768
2020-09-16,Brazil,15155
2020-09-17,Brazil,36653
2020-09-18,Brazil,36820
2020-09-19,Brazil,36303
2020-09-20,Brazil,39797
2020-09-21,Brazil,33057
2020-09-22,Brazil,16389
2020-09-23,Brazil,13439
2020-09-24,Brazil,33536
2020-09-25,Brazil,33281
2020-09-26,Brazil,32817
2020-09-27,Brazil,31911
2020-09-28,Brazil,28378
2020-09-29,Brazil,14318
2020-09-30,Brazil,13155
2020-10-01,Brazil,32058
2020-10-02,Brazil,33413
2020-10-03,Brazil,36157
2020-10-04,Brazil,33431
2020-10-05,Brazil,26310
2020-10-06,Brazil,8456
2020-10-07,Brazil,11946
2020-10-08,Brazil,41906
2020-10-09,Brazil,31553
2020-10-10,Brazil,27750
2020-10-11,Brazil,27444
2020-10-12,Brazil,26749
2020-10-13,Brazil,12342
2020-10-14,Brazil,8429
2020-10-15,Brazil,10220
2020-10-16,Brazil,27235
2020-10-17,Brazil,28523
2020-10-18,Brazil,30914
2020-10-19,Brazil,24062
2020-10-20,Brazil,10982
2020-10-21,Brazil,15383
2020-10-22,Brazil,23227
2020-10-23,Brazil,24818
2020-10-24,Brazil,24858
2020-10-25,Brazil,30026
2020-10-26,Brazil,26979
2020-10-27,Brazil,13493
2020-10-28,Brazil,15726
2020-10-29,Brazil,29787
2020-10-30,Brazil,28629
2020-10-31,Brazil,26106
2020-11-01,Brazil,22282
2020-11-02,Brazil,18947
2020-11-03,Brazil,10100
2020-11-04,Brazil,8501
2020-11-05,Brazil,11843
2020-11-06,Brazil,23976
2020-11-07,Brazil,22294
2020-11-08,Brazil,18862
2020-11-09,Brazil,22380
2020-11-10,Brazil,10554
2020-11-11,Brazil,10917
2020-11-12,Brazil,25012
2020-11-13,Brazil,48331
2020-11-14,Brazil,33207
2020-11-15,Brazil,29070
2020-11-16,Brazil,38307
2020-11-17,Brazil,14134
2020-11-18,Brazil,13371
2020-11-19,Brazil,35294
2020-11-20,Brazil,34091
2020-11-21,Brazil,35918
2020-11-22,Brazil,38397
2020-11-23,Brazil,32622
2020-11-24,Brazil,18615
2020-11-25,Brazil,16207
2020-11-26,Brazil,31100
2020-11-27,Brazil,47898
2020-11-28,Brazil,37614
2020-11-29,Brazil,34130
2020-11-30,Brazil,51922
2020-12-01,Brazil,24468
2020-12-02,Brazil,21138
2020-12-03,Brazil,50909
2020-12-04,Brazil,49863
2020-12-05,Brazil,50434
2020-12-06,Brazil,46884
2020-12-07,Brazil,43209
2020-12-08,Brazil,26363
2020-12-09,Brazil,20371
2020-12-10,Brazil,51088
2020-12-11,Brazil,53453
2020-12-12,Brazil,53347
2020-12-13,Brazil,54428
2020-12-14,Brazil,43900
2020-12-15,Brazil,21825
2020-12-16,Brazil,25193
2020-12-17,Brazil,42889
2020-12-18,Brazil,70574
2020-12-19,Brazil,69826
2020-12-20,Brazil,52544
2020-12-21,Brazil,50177
2020-12-22,Brazil,25445
2020-12-23,Brazil,25019
2020-12-24,Brazil,55202
2020-12-25,Brazil,46696
2020-12-26,Brazil,60076
2020-12-27,Brazil,22967
2020-12-28,Brazil,17246
2020-12-29,Brazil,18479
2020-12-30,Brazil,20548
2020-12-31,Brazil,58718
2021-01-01,Brazil,55649
2021-01-02,Brazil,56773
2021-01-03,Brazil,24605
2021-01-04,Brazil,15827
2021-01-05,Brazil,17341
2021-01-06,Brazil,20006
2021-01-07,Brazil,56648
2021-01-08,Brazil,63430
2021-01-09,Brazil,87843
2021-01-10,Brazil,52035
2021-01-11,Brazil,62290
2021-01-12,Brazil,29792
2021-01-13,Brazil,25822
2021-01-14,Brazil,64025
2021-01-15,Brazil,60899
2021-01-16,Brazil,67758
2021-01-17,Brazil,69198
2021-01-18,Brazil,61567
2021-01-19,Brazil,33040
2021-01-20,Brazil,23671
2021-01-21,Brazil,62094
2021-01-22,Brazil,64385
2021-01-23,Brazil,59119
2021-01-24,Brazil,56552
2021-01-25,Brazil,62334
2021-01-26,Brazil,28323
2021-01-27,Brazil,26816
2021-01-28,Brazil,61963
2021-01-29,Brazil,63520
2021-01-30,Brazil,61811
2021-01-31,Brazil,59826
