Date_reported,Anguilla,Argentina,Aruba,Bahamas,Barbados,Belize,Bermuda,Bonaire,Brazil,Canada,Chile,Colombia,Cuba,Curaçao,Dominica,Ecuador,Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Montserrat,Nicaragua,Panama,Paraguay,Peru,Saba,Suriname,Uruguay
2020-10-16,0,14932,26,194,5,34,0,0,27235,2506,1124,6061,27,26,1,1277,0,0,671,24,0,606,78,0,4056,0,0,832,648,2977,0,11,51
2020-10-17,0,17096,30,132,3,63,0,0,28523,2345,1694,6823,56,28,0,1299,0,214,666,31,17,631,65,9,5514,0,0,755,751,2789,0,11,29
2020-10-18,0,16546,0,111,1,46,0,0,30914,2374,1813,8372,52,0,0,763,2,0,597,52,0,602,63,0,6751,0,0,615,886,2677,0,19,33
2020-10-19,0,13510,0,75,0,47,0,0,24062,2215,1757,7017,50,0,0,867,0,0,332,38,0,903,79,0,5447,0,0,609,533,3132,0,10,51
2020-10-20,0,10561,37,70,3,38,0,0,10982,1827,1545,7201,38,71,0,134,0,0,239,24,0,841,47,0,4119,0,0,638,709,3126,0,7,30
2020-10-21,0,12982,12,150,0,20,3,0,15383,3289,1173,6311,47,7,0,692,0,0,620,31,51,946,53,0,3699,0,65,436,728,2201,0,3,29
2020-10-22,0,18735,21,128,0,53,0,0,23227,2251,1159,8256,63,8,0,1510,0,207,196,31,3,851,71,528,5788,0,0,558,621,3242,0,11,63
2020-10-23,0,15928,14,84,2,51,0,0,24818,2672,1494,7561,53,25,0,826,0,0,757,54,0,846,155,0,6845,0,0,696,746,2767,0,6,40
2020-10-24,0,16325,20,133,0,58,2,0,24858,2788,1775,8570,58,19,4,0,0,0,730,27,20,431,38,0,6612,0,0,792,707,2991,0,4,38
2020-10-25,0,15718,0,0,3,55,0,0,30026,2584,1636,8672,55,0,1,3163,0,0,730,83,16,373,32,0,6604,0,0,639,733,3240,0,1,58
2020-10-26,0,11968,0,142,3,56,0,0,26979,2227,1521,8769,32,0,0,2021,1,145,155,34,11,842,44,6,6025,0,0,649,784,3098,0,11,48
2020-10-27,0,9253,31,56,3,39,0,0,13493,2145,1535,8174,29,55,0,543,0,0,107,29,0,490,35,0,4360,0,0,685,551,2501,0,4,44
2020-10-28,0,11712,2,36,0,55,3,0,15726,4109,927,9167,83,15,0,1014,0,0,677,3,0,752,38,0,4166,0,62,551,515,1859,0,10,21
2020-10-29,0,14308,15,47,0,32,1,3,29787,2674,1005,8166,49,11,0,1716,0,131,749,35,20,657,64,752,5942,0,0,671,448,1923,0,7,44
2020-10-30,0,13924,18,58,2,29,4,0,28629,2699,1520,8717,39,23,4,1394,0,0,470,13,8,576,76,0,5595,0,0,825,733,2431,0,5,65
2020-10-31,0,13267,17,37,1,121,1,0,26106,2956,1521,11187,35,37,0,845,0,137,549,24,0,951,78,266,5948,0,0,798,760,2666,0,5,63
2020-11-01,0,13379,0,0,0,80,0,0,22282,3457,1685,10029,86,0,8,1045,0,0,600,45,0,738,89,0,6000,0,0,822,546,2586,0,4,38
2020-11-02,0,9745,0,91,1,25,0,0,18947,2512,1608,11033,48,0,0,1002,0,0,165,19,0,516,37,0,6151,0,0,731,589,2323,0,2,42
2020-11-03,0,6609,47,24,0,90,7,0,10100,2330,1324,9137,35,43,0,368,0,0,0,46,0,808,126,0,4430,0,0,738,546,2408,0,7,25
2020-11-04,0,9598,5,31,1,47,0,0,8501,3422,1014,9935,65,8,0,548,1,0,379,30,0,193,39,0,3763,0,56,579,425,1634,0,2,16
