departamento,Provincia,Municipio,ciudad_comunidad,techo_teja
,Zudáñez,Mojocoya,SAN JULIAN,27
,Zudáñez,Mojocoya,CURIMA,13
,Zudáñez,Mojocoya,MOJOCOYA,113
,Zudáñez,Mojocoya,CHAMPA RANCHO,21
,Zudáñez,Mojocoya,VILLA MOJOCOYA,93
,Zudáñez,Icla,CANTAR GALLO,12
,Zudáñez,Icla,CHAHARANI,87
,Zudáñez,Icla,CHOROMOMO,48
,Zudáñez,Icla,CHURUMATA,12
,Zudáñez,Icla,CHURO,10
,Zudáñez,Icla,EL PALMAR,15
,Zudáñez,Icla,JARQUITAYOC,1
,Zudáñez,Icla,KCARALLANTAYO,8
,Zudáñez,Icla,LAGUNILLAS,27
,Zudáñez,Icla,RODEO,33
,Zudáñez,Icla,SAN JACINTO,117
,Zudáñez,Icla,ICLA,118
,Zudáñez,Icla,JATUN MAYU,129
,Zudáñez,Icla,JATUN WASI,4
,Zudáñez,Icla,CANDELARIA,70
,Zudáñez,Icla,NIAGARA,52
,Zudáñez,Icla,PHOTOLO,2
,Zudáñez,Icla,PILA TORRE,53
,Zudáñez,Icla,RUDITAYOC,7
,Zudáñez,Icla,SANTA LUCIA,5
,Zudáñez,Icla,SOROMA,53
,Zudáñez,Icla,TAYGATA,29
,Zudáñez,Icla,THAQO PAMPA,101
,Zudáñez,Icla,UYUNI,70
,Zudáñez,Icla,CHUNCA KANCHA,15
,Zudáñez,Icla,CHUNCA CANCHA BAJA,9
,Zudáñez,Icla,PUPAYOQ,3
,Zudáñez,Icla,CUEVA,9
,Zudáñez,Icla,JULA JULA,21
,Zudáñez,Icla,MOLLE MAYU,41
,Tomina,Padilla,CHAJRA MAYU,36
,Tomina,Padilla,CHAUJRAL,3
,Tomina,Padilla,CHINCANA,15
,Tomina,Padilla,CHASKA ORCKO,1
,Tomina,Padilla,ASTILLERO,35
,Tomina,Padilla,CAMPO REDONDO,58
,Tomina,Padilla,COREY,3
,Tomina,Padilla,EL ROSAL,43
,Tomina,Padilla,EL TABACAL,55
,Tomina,Padilla,HUAYRA HUASI,20
,Tomina,Padilla,IVICUITE,11
,Tomina,Padilla,MOLLE PAMPA,4
,Tomina,Padilla,PEDERNAL,26
,Tomina,Padilla,PILI PILI ALTO,45
,Tomina,Padilla,PUNILLA,28
,Tomina,Padilla,CRUZ LOMA,17
,Tomina,Padilla,EL CERRO,26
,Tomina,Padilla,FUERTE PAMPA,24
,Tomina,Padilla,KHAKA HUASI,26
,Tomina,Padilla,LA BELLEZA,21
,Tomina,Padilla,LA CIENAGA,49
,Tomina,Padilla,LA FAJCHA,25
,Tomina,Padilla,LA SEJA,0
,Tomina,Padilla,LAMPACILLOS,53
,Tomina,Padilla,LAMPAZOS,19
,Tomina,Padilla,LAS CASAS,32
,Tomina,Padilla,LEUQUE PAMPA,33
,Tomina,Padilla,LLANTOJ,2
,Tomina,Padilla,MILLO KHAKA,23
,Tomina,Padilla,MOJOTORILLO,101
,Tomina,Padilla,MONTE CANTO,22
,Tomina,Padilla,NARANJAL,13
,Tomina,Padilla,OVEJA CANCHA,23
,Tomina,Padilla,PADILLA,873
,Tomina,Padilla,PEÑA BLANCA,0
,Tomina,Padilla,PILI PILI BAJO,24
,Tomina,Padilla,PILLUIQUI,26
,Tomina,Padilla,PUCARILLO,12
,Tomina,Padilla,RECALDE,49
,Tomina,Padilla,RIO ACERO,18
,Tomina,Padilla,SAN MAURO,23
,Tomina,Padilla,SILLANI,39
,Tomina,Padilla,TAPIAL,31
,Tomina,Padilla,THACO THACO,5
,Tomina,Padilla,THIYUMAYU,85
,Tomina,Padilla,THULA KASA,30
,Tomina,Padilla,THURU PAMPA,24
,Tomina,Padilla,TOLA ORCKO,19
,Tomina,Padilla,TRES POZAS,18
,Tomina,Padilla,VIRQUI PAMPA,15
,Tomina,Padilla,SAN ISIDRO,38
,Tomina,Padilla,PINCAL,2
,Tomina,Padilla,SAN JULIAN ALTO,42
,Tomina,Padilla,SAN ISIDRO DEL VALLE,1
,Tomina,Padilla,YERBA BUENA,28
,Tomina,Padilla,CHUCES,0
,Tomina,Padilla,SAN JOSE,27
,Tomina,Tomina,ARQUILLOS,78
,Tomina,Tomina,CORSO,71
,Tomina,Tomina,KHURI,70
,Tomina,Tomina,TOMINA LA CHICA,23
,Tomina,Tomina,FUERTE RUA,86
,Tomina,Tomina,GUERRA MAYU,23
,Tomina,Tomina,ICHU PAMPA,35
,Tomina,Tomina,KANALLAS,27
,Tomina,Tomina,KHAWASIRI,36
,Tomina,Tomina,OLOPO,21
,Tomina,Tomina,OTORONGO,39
,Tomina,Tomina,PAMPAS ABAJO,83
,Tomina,Tomina,PAMPAS ARRIBA,35
,Tomina,Tomina,POTREROS,61
