Departamento,Provincia,Municipio,Ciudad / Comunidad,pared_total,pared_ladrillo_cemento,pared_adobe_tapial,pared_tabique_quinche,pared_piedra,pared_madera,pared_canha_palma,pared_otro,techo_total,techo_calamina,techo_teja,techo_losa,techo_paja,techo_otro,piso_total,piso_tierra,piso_madera,piso_machimbre,piso_parquet,piso_ceramica,piso_cemento,piso_mosaico,piso_ladrillo,piso_otro
Cochabamba,Carrasco,Puerto Villarroel,9 DE AGOSTO,21,3,0,0,0,18,0,0,21,1,20,0,0,0,21,16,0,0,0,0,5,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,AGUA RICA,38,1,0,0,0,33,4,0,38,7,30,0,1,0,38,36,0,0,0,0,2,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,BOLIVAR,45,15,0,0,0,29,1,0,45,3,42,0,0,0,45,27,0,0,0,2,16,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SIMON BOLIVAR,36,11,0,0,0,20,5,0,36,5,31,0,0,0,36,21,0,0,0,0,15,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,BUENA VISTA,26,2,0,0,0,16,8,0,26,4,18,0,4,0,26,22,0,0,0,0,4,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,CAPINOTA,12,0,0,0,0,11,1,0,12,0,12,0,0,0,12,12,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,COPACABANA,72,15,0,0,1,50,5,1,72,7,61,0,3,1,72,53,0,0,0,1,18,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,GUALBERTO VILLARROEL,108,32,0,0,1,73,2,0,108,8,99,1,0,0,108,71,0,0,0,3,34,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,LITORAL,5,0,0,0,0,3,1,1,5,3,0,0,2,0,5,5,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,INQUISIVI,9,1,0,0,0,7,1,0,9,2,7,0,0,0,9,9,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ISRAEL A,50,11,0,0,0,33,6,0,50,4,39,0,7,0,50,32,0,0,0,0,18,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ISRAEL B,22,2,0,0,0,18,2,0,22,2,18,0,1,1,22,19,0,0,0,0,3,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,ISRAEL,141,65,0,0,0,76,0,0,141,20,111,4,4,2,141,58,0,0,0,3,77,0,1,2
Cochabamba,Carrasco,Puerto Villarroel,MANANTIAL A,5,0,0,0,0,5,0,0,5,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,MANANTIAL B,8,0,0,0,0,7,0,1,8,1,5,0,2,0,8,8,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,MIRAFLORES,17,0,0,0,0,14,3,0,17,7,9,0,1,0,17,17,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,NUEVA ZABALA,22,0,0,0,1,18,1,2,22,12,9,0,1,0,22,22,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,PRIMER BUSTILLOS,31,2,0,0,0,25,4,0,31,8,20,0,1,2,31,28,0,0,0,0,2,0,0,1
Cochabamba,Carrasco,Puerto Villarroel,PUERTO RICO,16,0,0,1,0,14,0,1,16,8,2,0,0,6,16,13,0,0,0,0,3,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,UNIDAS QUILLABAMBA,25,7,0,0,1,15,1,1,25,2,23,0,0,0,25,16,1,0,0,0,8,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SACTA CHICO,19,0,0,0,0,19,0,0,19,6,13,0,0,0,19,17,0,0,0,0,2,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SACTA NUEVA,5,0,0,0,0,5,0,0,5,1,0,0,4,0,5,5,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN ANTONIO,46,5,0,0,1,39,1,0,46,6,40,0,0,0,46,40,0,0,0,0,6,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN ISIDRO A,31,3,0,0,0,28,0,0,31,10,5,0,16,0,31,28,0,0,0,0,3,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN JORGE,43,7,0,0,0,36,0,0,43,2,41,0,0,0,43,35,0,0,0,0,8,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SANTA FE,110,37,0,1,0,66,2,4,110,21,81,0,7,1,110,67,0,0,0,0,43,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SAN LUCAS,44,8,0,0,2,34,0,0,44,16,28,0,0,0,44,22,12,0,0,0,10,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,SANTA ROSA,12,0,0,0,0,11,1,0,12,11,1,0,0,0,12,12,0,0,0,0,0,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,TRANSVERSAL,225,139,0,0,0,76,8,2,225,57,153,10,5,0,225,62,0,0,0,3,158,0,1,1
Cochabamba,Carrasco,Puerto Villarroel,SINDICATO TRANSVERSAL,25,5,0,0,1,19,0,0,25,1,23,1,0,0,25,17,0,0,0,1,7,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VALLE CENTRAL,69,29,0,0,0,39,0,1,69,0,67,1,0,1,69,44,0,0,0,2,23,0,0,0
Cochabamba,Carrasco,Puerto Villarroel,VALLE IVIRZA,94,50,0,0,0,42,2,0,94,17,73,4,0,0,94,46,1,0,0,2,44,1,0,0
